product_id,product_brand,product_model,product_body_type,product_transmission_type,product_year,product_description,product_price,user_id
1,nissan,march,MPV,at,2003,Mobil ini sporty dan bergaya dengan mesin yang bertenaga.,76100000,51
2,nissan,march,Pickup,at,2010,Mobil ini luas dan nyaman untuk perjalanan jauh.,104600000,85
3,nissan,lafesta,Wagon,at,2005,Mobil ini kompak dan lincah dengan manuver yang mudah.,157000000,86
4,toyota,avensis,MPV,at,2008,Mobil ini bersih dan ramah lingkungan dengan sistem hybrid atau listrik.,180700000,59
5,daihatsu,mira,Hatchback,at,2006,Mobil ini elegan dan mewah dengan desain yang menawan.,180700000,45
6,daihatsu,mira,Crossover,at,2004,Mobil ini luas dan nyaman untuk perjalanan jauh.,180700000,99
7,nissan,march,Wagon,at,2010,Mobil ini luas dan nyaman untuk perjalanan jauh.,209300000,53
8,volkswagen,passat,Wagon,at,2008,Mobil ini luas dan nyaman untuk perjalanan jauh.,218800000,67
9,mazda,bongo van,Convertible,mt,2010,Mobil ini terjangkau dan praktis untuk penggunaan sehari-hari.,261600000,59
10,honda,step wgn,Hatchback,at,2005,Mobil ini hemat bahan bakar dan ramah lingkungan.,269200000,63
11,subaru,sambar,Crossover,mt,2004,Mobil ini tangguh dan handal untuk segala medan.,275900000,70
12,honda,inspire,Minivan,at,2002,Mobil ini hemat bahan bakar dan ramah lingkungan.,275900000,35
13,mercedes-benz,mercedes-benz others,Sedan,at,2006,Mobil ini terjangkau dan praktis untuk penggunaan sehari-hari.,275900000,62
14,nissan,march,SUV,at,2011,Mobil ini hemat bahan bakar dan ramah lingkungan.,275900000,21
15,nissan,march,Crossover,at,2010,Mobil ini modern dan futuristik dengan teknologi terbaru.,275900000,97
16,nissan,march,Sedan,at,2011,Mobil ini kompak dan lincah dengan manuver yang mudah.,275900000,56
17,nissan,march,Hatchback,at,2011,Mobil ini terjangkau dan praktis untuk penggunaan sehari-hari.,275900000,18
18,nissan,march,SUV,at,2010,Mobil ini luas dan nyaman untuk perjalanan jauh.,275900000,100
19,nissan,note,Sedan,at,2010,Mobil ini tangguh dan handal untuk segala medan.,275900000,18
20,nissan,march,Crossover,at,2010,Mobil ini bersih dan ramah lingkungan dengan sistem hybrid atau listrik.,275900000,15
21,toyota,passo,Sedan,at,2007,Mobil ini tangguh dan handal untuk segala medan.,275900000,22
22,subaru,impreza,Wagon,at,2008,Mobil ini modern dan futuristik dengan teknologi terbaru.,275900000,10
23,toyota,passo,SUV,at,2009,Mobil ini kompak dan lincah dengan manuver yang mudah.,275900000,86
24,kubota,kubota others,Sedan,mt,1979,Mobil ini terjangkau dan praktis untuk penggunaan sehari-hari.,285400000,84
25,honda,life,Minivan,at,2006,Mobil ini tangguh dan handal untuk segala medan.,285400000,100
26,toyota,passo,Coupe,at,2007,Mobil ini tangguh dan handal untuk segala medan.,285400000,92
27,toyota,avensis,Van,at,2006,Mobil ini luas dan nyaman untuk perjalanan jauh.,293000000,64
28,toyota,progres,SUV,at,2002,Mobil ini bersih dan ramah lingkungan dengan sistem hybrid atau listrik.,294900000,47
29,nissan,cube cubic,SUV,at,2007,Mobil ini hemat bahan bakar dan ramah lingkungan.,297800000,35
30,nissan,march,Pickup,at,2011,Mobil ini andal dan aman dengan fitur canggih.,304400000,9
31,nissan,note,Convertible,at,2010,Mobil ini bersih dan ramah lingkungan dengan sistem hybrid atau listrik.,314000000,10
32,nissan,note,Sedan,at,2010,Mobil ini hemat bahan bakar dan ramah lingkungan.,314000000,27
33,nissan,cube,SUV,at,2010,Mobil ini modern dan futuristik dengan teknologi terbaru.,314000000,94
34,mercedes-benz,a-class,Wagon,at,2006,Mobil ini modern dan futuristik dengan teknologi terbaru.,319700000,33
